ProductKey,Product_Name,Brand,Color,Unit_Cost_USD,Unit_Price_USD,SubcategoryKey,Subcategory,CategoryKey,Category
1,Contoso 512MB MP3 Player E51 Silver,Contoso,Silver,7.89,14.57,101,MP4&MP3,1,Audio
2,Contoso 512MB MP3 Player E51 Blue,Contoso,Blue,5.2,12.36,101,MP4&MP3,1,Audio
3,Contoso 1G MP3 Player E100 White,Contoso,White,5.47,10.4,101,MP4&MP3,1,Audio
4,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,7.89,12.63,101,MP4&MP3,1,Audio
5,Contoso 2G MP3 Player E200 Red,Contoso,Red,5.55,12.64,101,MP4&MP3,1,Audio
6,Contoso 2G MP3 Player E200 Black,Contoso,Black,6.75,11.88,101,MP4&MP3,1,Audio
7,Contoso 2G MP3 Player E200 Blue,Contoso,Blue,8.51,13.56,101,MP4&MP3,1,Audio
8,Contoso 4G MP3 Player E400 Silver,Contoso,Silver,8.73,14.5,101,MP4&MP3,1,Audio
9,Contoso 4G MP3 Player E400 Black,Contoso,Black,8.03,12.66,101,MP4&MP3,1,Audio
10,Contoso 4G MP3 Player E400 Green,Contoso,Green,7.57,12.8,101,MP4&MP3,1,Audio
11,Contoso 4G MP3 Player E400 Orange,Contoso,Orange,9.16,13.38,101,MP4&MP3,1,Audio
12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,8.53,12.02,101,MP4&MP3,1,Audio
13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Black,5.8,14.35,101,MP4&MP3,1,Audio
14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Silver,6.57,12.95,101,MP4&MP3,1,Audio
15,Contoso 4GB Flash MP3 Player E401 White,Contoso,White,8.88,14.32,101,MP4&MP3,1,Audio
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,White,5.3,10.17,101,MP4&MP3,1,Audio
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,Red,8.64,10.86,101,MP4&MP3,1,Audio
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,Green,8.1,13.67,101,MP4&MP3,1,Audio
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,Pink,9.96,10.3,101,MP4&MP3,1,Audio
20,Contoso 8GB MP3 Player new model M820 Black,Contoso,Black,6.56,12.78,101,MP4&MP3,1,Audio
21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,Blue,9.31,10.36,101,MP4&MP3,1,Audio
22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,Yellow,6.74,12.18,101,MP4&MP3,1,Audio
23,Contoso 8GB MP3 Player new model M820 White,Contoso,White,5.7,13.22,101,MP4&MP3,1,Audio
24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,5.57,12.44,101,MP4&MP3,1,Audio
25,Contoso 16GB Mp5 Player M1600 Black,Contoso,Black,8.36,12.45,101,MP4&MP3,1,Audio
26,Contoso 16GB Mp5 Player M1600 Green,Contoso,Green,5.84,11.16,101,MP4&MP3,1,Audio
27,Contoso 16GB Mp5 Player M1600 White,Contoso,White,6.55,13.97,101,MP4&MP3,1,Audio
28,Contoso 16GB Mp5 Player M1600 Red,Contoso,Red,5.38,12.79,101,MP4&MP3,1,Audio
29,Contoso 32GB Video MP3 Player M3200 White,Contoso,White,7.93,12.27,101,MP4&MP3,1,Audio
30,Contoso 32GB Video MP3 Player M3200 Red,Contoso,Red,6.47,10.91,101,MP4&MP3,1,Audio
31,Contoso 32GB Video MP3 Player M3200 Orange,Contoso,Orange,7.83,11.35,101,MP4&MP3,1,Audio
32,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,Pink,5.31,12.81,101,MP4&MP3,1,Audio
33,Contoso 32GB Video MP3 Player M3200 Black,Contoso,Black,8.23,11.63,101,MP4&MP3,1,Audio
34,Contoso 4GB Portable MP3 Player M450 Black,Contoso,Black,6.11,11.43,101,MP4&MP3,1,Audio
35,Contoso 4GB Portable MP3 Player M450 White,Contoso,White,6.84,13.72,101,MP4&MP3,1,Audio
36,Contoso 4GB Portable MP3 Player M450 Yellow,Contoso,Yellow,9.19,14.5,101,MP4&MP3,1,Audio
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,Contoso,Silver,8.57,10.27,101,MP4&MP3,1,Audio
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,Contoso,Black,6.19,13.89,101,MP4&MP3,1,Audio
